,Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
0,TRAIN/Veerabhadrasana/Images/images (10).jpeg,182.3826386,172.2582309,108.6623118,99.44144182,241.8680694,185.7951529,260.0882225,100.6419984,189.6237183,94.44124119,230.0566387,287.6989059,92.29061004,274.8495464,0.51273483,0.189317584,-0.208944604,0.999999285,0.508667827,0.169137686,-0.185861886,0.999994993,0.508976579,0.16890955,-0.186169684,0.999994993,0.509628177,0.168494642,-0.186107218,0.999995112,0.501741529,0.170154959,-0.20021905,0.999997258,0.498791844,0.171030164,-0.200572625,0.999997973,0.495255947,0.171561062,-0.200645447,0.999997735,0.494042426,0.182778046,-0.074784897,0.999996424,0.470400065,0.181524128,-0.137887895,0.999994278,0.511550009,0.211825296,-0.165921479,0.999996901,0.502973735,0.212311566,-0.186900437,0.99999702,0.540114641,0.297447205,-0.017981013,0.999995232,0.408038467,0.30585739,-0.106217891,0.99998951,0.652923644,0.278082043,-0.025170496,0.996416092,0.292186737,0.286934614,-0.175525486,0.999403954,0.73569864,0.265524268,-0.159118116,0.997581959,0.204735845,0.290757209,-0.315254986,0.997820497,0.767011404,0.260972589,-0.17799288,0.993473113,0.176931113,0.290189743,-0.344691277,0.993773699,0.770325899,0.262295723,-0.219235718,0.994506538,0.17394051,0.285111845,-0.382624209,0.994533658,0.755954742,0.269029856,-0.181537524,0.99465102,0.187106371,0.287217736,-0.339294106,0.993887603,0.495834619,0.623433232,0.043654874,0.99996841,0.42279923,0.609119892,-0.043915775,0.999965906,0.638164163,0.687916577,-0.160374716,0.996797264,0.315551013,0.768113256,-0.155405834,0.997967303,0.669807076,0.911052585,-0.021616232,0.985519946,0.196362048,0.912554324,-0.068767108,0.992797911,0.656659245,0.949862182,-0.016029805,0.969895959,0.183720291,0.936281443,-0.066589504,0.941630125,0.732737064,0.955565631,-0.148560643,0.985466123,0.182455927,0.96186161,-0.218278676,0.986939073
1,TRAIN/Veerabhadrasana/Images/images (11).jpeg,180.8664108,184.6921511,85.42607874,103.7427977,180,112.0611195,271.5688222,88.78112476,175.3607536,135,265.5689607,323.5307656,83.81138404,272.9022112,0.392211556,0.264939576,-0.239486992,0.999995708,0.401748985,0.251092464,-0.245850325,0.999982953,0.404199421,0.25255698,-0.246170014,0.999983311,0.406617016,0.254127949,-0.246082768,0.999982357,0.40107742,0.249881864,-0.221373692,0.999985695,0.402752101,0.250655621,-0.221748799,0.999990225,0.404569834,0.251499981,-0.221884161,0.999989748,0.42570594,0.271098793,-0.244177327,0.99998951,0.42272234,0.268818915,-0.131469235,0.999985933,0.39731577,0.285386443,-0.236111835,0.99998498,0.395751089,0.285981148,-0.20560059,0.999979258,0.475313842,0.356877506,-0.232320666,0.999970198,0.393831849,0.35843122,-0.057165794,0.999945521,0.563939571,0.366701126,-0.287768334,0.998540998,0.301771998,0.364329994,-0.087512784,0.98383373,0.643494844,0.378430724,-0.392666578,0.99661535,0.216527358,0.35861516,-0.234753147,0.99090904,0.662980974,0.379776001,-0.417064101,0.99189657,0.195846915,0.36014685,-0.260195553,0.9810853,0.666115761,0.380552292,-0.452333599,0.992665112,0.19313553,0.36124295,-0.295186609,0.983187616,0.658252656,0.383131653,-0.410269976,0.991649508,0.200812042,0.364214778,-0.258200347,0.986041009,0.47406444,0.584561825,-0.054608408,0.999965072,0.436879307,0.586473048,0.054334272,0.999961615,0.56327188,0.712801576,-0.089289188,0.992212474,0.310411096,0.65624702,-0.040455967,0.979329765,0.648926198,0.843759418,0.010551221,0.980273843,0.307057619,0.845106184,0.067334756,0.948214054,0.659427106,0.894271791,0.011739645,0.925001264,0.318953633,0.880296946,0.07294175,0.936234236,0.676632106,0.880947113,-0.106408805,0.975348771,0.24849312,0.875444531,-0.008856287,0.952031434
2,TRAIN/Veerabhadrasana/Images/images (12).jpeg,181.4830546,175.9504183,98.09979248,103.5933864,247.9293065,180.6116755,252.1566466,102.3861291,192.0507849,99.31035557,240.0684882,279.264524,95.50234043,278.1301024,0.554867744,0.187585548,-0.181100339,0.999999642,0.547718108,0.173830509,-0.15802595,0.99999845,0.546696305,0.174532294,-0.158332512,0.999998569,0.545920849,0.175247356,-0.158250257,0.999998569,0.544418454,0.17403692,-0.184063956,0.999999046,0.540293396,0.175096557,-0.18442592,0.999999404,0.535405993,0.17630744,-0.184489086,0.999999285,0.530445993,0.1848187,-0.05138747,0.999999285,0.515404582,0.18576999,-0.168613806,0.999998927,0.551263809,0.208969757,-0.139203295,0.999999166,0.546573043,0.209263518,-0.176060632,0.999999166,0.57504636,0.280002415,0.01628536,0.999997497,0.453914016,0.29947412,-0.173176304,0.999996901,0.680865765,0.268882513,0.040428981,0.996500015,0.350033551,0.285813719,-0.249393091,0.999929428,0.765939116,0.262113094,-0.0785136,0.99846673,0.25243485,0.279254794,-0.36120066,0.999787986,0.798381031,0.259930849,-0.090107359,0.995727062,0.220968425,0.276829034,-0.393406689,0.999225736,0.802661777,0.262186497,-0.138219431,0.99629128,0.217331946,0.275574327,-0.426782697,0.999289751,0.791006923,0.267193645,-0.103954978,0.996580184,0.228697211,0.280363023,-0.38292107,0.999092221,0.560653329,0.577705741,0.074574254,0.99998951,0.478084892,0.583421409,-0.07484632,0.999985814,0.705723763,0.62181586,-0.156897709,0.999849796,0.368100822,0.701269448,-0.213889614,0.999827206,0.725921631,0.824748695,0.022715291,0.999412656,0.248970404,0.819827378,-0.034304626,0.998908043,0.712373972,0.868350506,0.032783195,0.998482406,0.237531155,0.83370322,-0.02113739,0.988016427,0.78741318,0.870795488,-0.097231507,0.99915576,0.24284786,0.879719436,-0.166206732,0.997816801
3,TRAIN/Veerabhadrasana/Images/images (13).jpeg,182.4195092,177.614056,108.4349488,97.58037294,271.9791961,180.1237488,274.7684072,74.74167916,187.0528024,101.8614994,232.7969911,288.9921025,115.7099538,275.099649,0.425138533,0.328083634,-0.156585142,0.999997497,0.418381929,0.314656436,-0.140175238,0.999982357,0.417195916,0.314763457,-0.140408322,0.99998486,0.416096717,0.314952314,-0.140367955,0.999985218,0.416590154,0.315353274,-0.163601622,0.999991298,0.413373232,0.3159073,-0.163879156,0.999994516,0.409944355,0.316382378,-0.163920626,0.999993443,0.402700752,0.323236287,-0.055524826,0.999994993,0.39207387,0.323272318,-0.162439689,0.999990463,0.420914471,0.343574554,-0.122184046,0.999996066,0.41849035,0.343426943,-0.155018628,0.999996543,0.441680849,0.395430326,0.002580835,0.999997854,0.336226076,0.401636064,-0.166328609,0.999991655,0.52311039,0.379935771,0.004612638,0.998255789,0.248243019,0.396231711,-0.242398009,0.999781549,0.597798467,0.371867448,-0.114498638,0.998816967,0.167100683,0.395288676,-0.35202682,0.999208391,0.618272781,0.36718002,-0.12841624,0.996775329,0.143947899,0.394223988,-0.381130248,0.997730315,0.620382845,0.36370495,-0.166127086,0.997256696,0.14224185,0.388160855,-0.409812301,0.997923315,0.612387538,0.368923426,-0.135437414,0.997413874,0.150364101,0.390635431,-0.369986475,0.997217774,0.415011704,0.630511701,0.066543624,0.999991059,0.351376593,0.636049986,-0.066718847,0.999985695,0.516074896,0.689088941,-0.080775417,0.999461472,0.267775744,0.746375084,-0.152008951,0.999500394,0.466625601,0.838224769,0.092551686,0.997520626,0.182347149,0.852555037,-0.00272845,0.998022914,0.450023711,0.863078713,0.103780322,0.995108902,0.17374827,0.868635058,0.007422641,0.97353971,0.512460291,0.875177264,-0.005903934,0.997064292,0.178174287,0.885432303,-0.124329202,0.995432258
4,TRAIN/Veerabhadrasana/Images/images (14).jpeg,183.3664607,173.0048077,262.6942405,257.5248903,133.8575006,179.8322237,87.7615651,272.3538122,174.2609015,245.9770667,127.1742548,78.27049649,260.9797408,90.15097667,0.493965387,0.403940558,0.117368065,0.999926329,0.495807499,0.392543286,0.09221039,0.999958873,0.4961842,0.391922235,0.092044316,0.999963284,0.496379852,0.391421914,0.092128128,0.999964595,0.498532951,0.391307175,0.108350128,0.999966383,0.50146699,0.389746964,0.108125597,0.999977708,0.504686654,0.388224274,0.108049475,0.999979258,0.50239712,0.392080873,0.007115207,0.999967813,0.516769111,0.389849901,0.080164462,0.999954939,0.496873349,0.415281326,0.09472359,0.999681115,0.500983298,0.414879233,0.113831826,0.999623418,0.480593979,0.457646221,-0.066229105,0.99964869,0.56606698,0.467606515,0.082564212,0.999501348,0.411292076,0.457319319,-0.148812652,0.996218264,0.633935094,0.460582644,0.060472108,0.976293862,0.350193024,0.450044841,-0.187246442,0.9758901,0.697794259,0.445639849,0.02441214,0.947688401,0.333265901,0.448485076,-0.22028251,0.975120306,0.71773392,0.442363977,2.20E-05,0.954001963,0.331966221,0.446548641,-0.207375094,0.975398898,0.718776345,0.439361781,0.006924546,0.953453004,0.339007646,0.450279266,-0.180915102,0.947339296,0.712263405,0.442098051,0.025337556,0.919052541,0.499043584,0.671438873,-0.055069976,0.999920011,0.545451403,0.664046288,0.054818571,0.999909163,0.415694952,0.746707857,-0.015102258,0.992731869,0.606736839,0.762676477,0.059784822,0.973517418,0.39432162,0.890711784,0.071624465,0.990579665,0.674163282,0.872546852,0.14523831,0.975647807,0.399192035,0.915109336,0.079229884,0.991990149,0.681102693,0.895914793,0.15564625,0.991467357,0.359188855,0.91352421,0.03939693,0.976673424,0.685925186,0.892307699,0.135018662,0.946086109
5,TRAIN/Veerabhadrasana/Images/images (15).jpeg,170.6470207,190.5142089,95.95983911,98.58232458,262.7847226,178.3896994,263.1689941,90.15004472,180.1237488,96.66961984,236.8650195,282.9102653,100.505868,273.8622091,0.549465418,0.410860777,-0.129554182,0.999999046,0.54314518,0.399512917,-0.113262996,0.999993205,0.541599989,0.399932235,-0.113447823,0.99999392,0.540247083,0.400585324,-0.113400795,0.999993801,0.541365623,0.399775237,-0.132260218,0.999996662,0.5384354,0.400496632,-0.13249661,0.999997973,0.535979748,0.401827872,-0.132532224,0.999997735,0.528416693,0.412651509,-0.040097471,0.999997139,0.521733224,0.413781345,-0.126499355,0.999996305,0.546402812,0.428811401,-0.101111725,0.999997854,0.545075178,0.429082096,-0.127845183,0.999998331,0.561389685,0.498534441,0.004806716,0.999996543,0.471993029,0.494048268,-0.131765097,0.999994397,0.630580902,0.50558573,0.012238157,0.996370435,0.395873249,0.48686415,-0.185643598,0.99987793,0.695135653,0.492258638,-0.075756714,0.997399092,0.331968367,0.468393952,-0.269083202,0.999693632,0.714399278,0.496019721,-0.083940297,0.993118525,0.311863005,0.465924323,-0.293471187,0.998975754,0.716802478,0.495539546,-0.118317135,0.994209528,0.30977276,0.463526756,-0.316181958,0.999063194,0.709096551,0.495950341,-0.094000369,0.994701266,0.317750931,0.466898143,-0.284040481,0.998669386,0.53888768,0.707221448,0.052923072,0.999979615,0.484235793,0.705969334,-0.053028252,0.999975801,0.631598473,0.74516362,-0.105866522,0.998987615,0.408409536,0.802210093,-0.132299304,0.99928087,0.616695166,0.894647062,0.034012217,0.992579043,0.332049429,0.896256089,-0.007963943,0.995761573,0.607746303,0.921480358,0.04309769,0.986317337,0.323302984,0.906967223,0.000749688,0.952847242,0.649408996,0.9203915,-0.047597628,0.993019998,0.330464959,0.924137831,-0.104836591,0.99151057
6,TRAIN/Veerabhadrasana/Images/images (3).jpeg,171.812198,184.5942533,86.43002405,107.1494248,183.671025,113.5267698,245.6589101,115.3688538,185.0360443,119.2351674,273.1929804,324.782407,73.98321372,276.2855778,0.463892967,0.124546088,-0.189298555,0.999890804,0.475971431,0.101457536,-0.18798323,0.999222994,0.480042309,0.103879929,-0.188306823,0.999270737,0.484524012,0.106652915,-0.188191667,0.999102235,0.471888781,0.099691868,-0.164441273,0.999488235,0.472699374,0.100090139,-0.164931774,0.999693751,0.473624021,0.100362837,-0.165186808,0.999679923,0.505226791,0.124087185,-0.157681152,0.999489427,0.496914208,0.12092077,-0.049138997,0.99970454,0.474666953,0.159001678,-0.176929682,0.999613106,0.466062963,0.155000806,-0.148035854,0.999609888,0.575448036,0.265500128,-0.13532038,0.999724567,0.45099169,0.263335407,0.006541634,0.999803007,0.69636035,0.289110333,-0.196694598,0.991908252,0.332609147,0.23337914,-0.036598455,0.976113021,0.800918341,0.280280441,-0.319295645,0.988499105,0.230004117,0.195931986,-0.205784887,0.994215548,0.833576322,0.286890447,-0.335995585,0.98271054,0.199108958,0.201907948,-0.237715393,0.989496291,0.837453723,0.285796344,-0.381576568,0.985323966,0.195186406,0.198312461,-0.272607446,0.990461409,0.823455691,0.287530273,-0.341623873,0.985186756,0.206729442,0.20146291,-0.231853932,0.992636561,0.56578815,0.632212341,-0.034008075,0.999672174,0.483305305,0.637710273,0.033727065,0.999769986,0.70035547,0.78571409,-0.077995226,0.954794765,0.319337547,0.671616673,-0.154074192,0.979976177,0.83133471,0.949033856,-0.008055829,0.951134205,0.269905269,0.946860611,-0.03147804,0.936229527,0.848277926,0.96703136,-0.010797384,0.79328227,0.279133588,0.982538342,-0.023775689,0.883553684,0.828606009,1.046082854,-0.164362758,0.926983774,0.227583915,1.017189741,-0.129655555,0.899878204
7,TRAIN/Veerabhadrasana/Images/images (4).jpeg,187.4769214,174.4539878,94.25411893,116.6691982,174.8555184,111.4854433,260.1356683,98.67770038,191.5181116,135.1306842,276.7112803,327.5702114,84.47132004,271.914747,0.473280251,0.150217026,-0.273962945,0.999980927,0.481334746,0.1295003,-0.275927693,0.999877214,0.484962523,0.128909826,-0.276283026,0.999867082,0.488831162,0.128207892,-0.276125073,0.999867797,0.477019608,0.12908709,-0.255960315,0.999915957,0.47762233,0.128058195,-0.256434202,0.999940991,0.478264838,0.126514822,-0.256623328,0.999939561,0.511626422,0.133526891,-0.240943953,0.999916911,0.500201046,0.132591605,-0.150721192,0.999936342,0.48495841,0.171717331,-0.257364988,0.999915838,0.477030456,0.171035528,-0.233742177,0.999898911,0.590298772,0.255763471,-0.204683378,0.999912262,0.459462941,0.253105104,-0.066347457,0.999827325,0.711390913,0.242773414,-0.251755744,0.991546929,0.348734736,0.226373315,-0.107925482,0.93940717,0.813792229,0.247443497,-0.362330884,0.975883663,0.244764656,0.216085836,-0.263620049,0.967801571,0.844018757,0.255998939,-0.379379421,0.94919461,0.212467939,0.212790772,-0.294619739,0.94287467,0.847483516,0.257283896,-0.426352084,0.954762995,0.206651062,0.212351739,-0.331063479,0.947726965,0.835711658,0.259320199,-0.384561241,0.949747324,0.224401981,0.216885254,-0.289264679,0.955044627,0.591800094,0.528012931,-0.039977368,0.999934554,0.526699901,0.541710377,0.039773203,0.999933958,0.709564924,0.680407345,0.020203361,0.930005193,0.377844214,0.583000839,-0.254675448,0.977623284,0.826594472,0.812180758,0.150412902,0.967026114,0.341992587,0.815931559,-0.15442197,0.961911261,0.84020108,0.830951512,0.151411399,0.849167764,0.357486933,0.861179054,-0.150119156,0.923673511,0.836503983,0.848077059,-0.00356648,0.956532657,0.272797287,0.854839623,-0.27203691,0.963614464
8,TRAIN/Veerabhadrasana/Images/images (9).jpeg,177.7974018,181.974934,97.38604315,96.45203501,246.2980984,180.1813152,257.7135674,99.61687151,178.025066,97.9902081,238.4400828,280.7842979,91.01397872,280.4731599,0.546610296,0.170262396,-0.228731021,0.999999881,0.537439704,0.152275681,-0.204027653,0.999999046,0.53579706,0.151872247,-0.204363734,0.999999166,0.534097552,0.151117712,-0.204283327,0.999999166,0.53523165,0.152838379,-0.234086037,0.999999523,0.532163262,0.153059244,-0.234421894,0.999999642,0.527602851,0.152944535,-0.234443277,0.999999523,0.511201262,0.16588065,-0.08910732,0.999999523,0.499703884,0.166264802,-0.225034729,0.999999166,0.541713715,0.19323881,-0.183625698,0.999999404,0.537990153,0.191907734,-0.225976571,0.999999523,0.562072337,0.278847635,-0.02149158,0.999998569,0.424366593,0.281230718,-0.216973856,0.999996424,0.663040161,0.279789805,-0.011375673,0.998250306,0.316913545,0.284410626,-0.299995035,0.99981159,0.763512611,0.274095505,-0.162663013,0.998985946,0.214128375,0.28616327,-0.428465068,0.999309301,0.79576844,0.282664686,-0.179784328,0.996869624,0.186108023,0.286447823,-0.464230299,0.997654676,0.801330984,0.278353691,-0.231867537,0.997413337,0.180668354,0.279481858,-0.503646314,0.997923493,0.789454162,0.28000024,-0.190651044,0.997589827,0.192327857,0.284840673,-0.453309476,0.997421145,0.537011027,0.560619175,0.075680442,0.999986529,0.455121994,0.56490612,-0.07593856,0.999981403,0.685906529,0.61877507,-0.130466312,0.999545157,0.339431047,0.700579047,-0.19268091,0.999534011,0.710903645,0.833956003,0.032930091,0.998452306,0.226173818,0.831247687,-0.012329097,0.998124063,0.695918024,0.880064487,0.039581027,0.994261622,0.208913952,0.848146617,-0.001069883,0.974713862,0.78245765,0.872382283,-0.113564424,0.998332679,0.214974523,0.878657818,-0.165122718,0.996503472
9,TRAIN/Veerabhadrasana/Images/istockphoto-1168064164-612x612.jpg,174.797057,179.886318,81.02511493,103.3162304,170.7889735,113.9759315,261.4140657,99.92001296,176.8299083,131.8832558,263.2530499,329.4897626,82.38876802,264.3229399,0.531121552,0.242926836,-0.179766223,0.999971271,0.540911973,0.226100802,-0.174722046,0.999901175,0.544299781,0.227520853,-0.175064072,0.999890566,0.547952652,0.229265898,-0.174896151,0.999896288,0.537195802,0.22593464,-0.160295203,0.999909043,0.537783444,0.226748735,-0.160753697,0.999928117,0.538183212,0.227579385,-0.160951152,0.999929786,0.56941992,0.244109914,-0.130262554,0.999904871,0.555807889,0.240268901,-0.065556996,0.999891281,0.539579093,0.266063958,-0.161431044,0.999905109,0.531949401,0.265102863,-0.145210922,0.999879718,0.629560947,0.34238404,-0.101184726,0.999925852,0.511533201,0.333275378,-0.026546359,0.99986577,0.706993699,0.369213492,-0.15560779,0.995468855,0.419098139,0.323357701,-0.100119166,0.971138537,0.787845194,0.38580218,-0.282485217,0.993968964,0.347047627,0.315385997,-0.246117964,0.96519345,0.812804282,0.381720155,-0.30033797,0.985424936,0.326858759,0.31206736,-0.278805941,0.920037746,0.815699756,0.37914896,-0.340361267,0.986994088,0.324601948,0.311485976,-0.306515336,0.925513983,0.805588424,0.385784715,-0.302163869,0.985864639,0.331365764,0.3170439,-0.267405689,0.935590684,0.617066622,0.609703779,-0.014311478,0.999978662,0.543786943,0.616294205,0.014117019,0.999976397,0.701664746,0.740879595,0.019544225,0.993126512,0.423753321,0.668601632,-0.193195537,0.997614622,0.799929202,0.852135539,0.13025251,0.995606124,0.40668565,0.861888051,-0.05454617,0.993598461,0.800686896,0.864809871,0.12997064,0.951629043,0.415915847,0.898760676,-0.046680268,0.973257303,0.836950541,0.894671619,-0.016541332,0.991449177,0.345993221,0.894901216,-0.158594385,0.990390301
