,Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
0,TRAIN/Natarajasana/Images/download (1).jpeg,162.7699473,178.4961603,185.2782606,57.22335843,187.9631138,280.9562593,201.4676514,155.9670924,211.8274466,121.6313018,234.3223377,246.1612598,131.9775894,358.577598,0.617274106,0.415059656,-0.173395872,0.999996901,0.61666888,0.399707526,-0.158453718,0.999993205,0.615770578,0.398527473,-0.158755407,0.999994159,0.614973783,0.397578895,-0.158717692,0.999992967,0.615897536,0.399560809,-0.192842886,0.999997258,0.614386857,0.398026526,-0.193122,0.999997973,0.612584949,0.396317124,-0.193258941,0.999997377,0.604687214,0.394891798,-0.08526925,0.999997139,0.598051906,0.390800297,-0.240328819,0.999997735,0.609028161,0.424669057,-0.14170377,0.999990821,0.608699918,0.424256206,-0.188861355,0.999994636,0.575564623,0.452435195,-0.016922684,0.999996781,0.542945027,0.417864859,-0.261031836,0.999994278,0.629214883,0.374940336,-0.00501181,0.917800844,0.468129665,0.389880061,-0.269803405,0.998578191,0.661559045,0.295624495,-0.106397897,0.965089917,0.398729831,0.368360788,-0.251223654,0.993938923,0.66796881,0.270088077,-0.123820119,0.961490989,0.390371442,0.350952387,-0.270786703,0.985843778,0.665498257,0.262985051,-0.143670738,0.957331538,0.385119319,0.354675949,-0.289022326,0.985489726,0.662018716,0.269958913,-0.11883381,0.949809015,0.388937205,0.363281071,-0.258907974,0.986321807,0.464037001,0.584477425,0.08465948,0.999999046,0.45102182,0.548971653,-0.085050963,0.999996662,0.475317001,0.737201989,0.177853212,0.99998486,0.354950339,0.522010386,-0.137623802,0.999961972,0.470086783,0.90663904,0.196652725,0.999997735,0.39476344,0.366746545,0.004084144,0.999490619,0.459907681,0.934494257,0.18978098,0.99998939,0.406949431,0.366351604,0.019875264,0.998855591,0.511599004,0.92586565,0.133233294,0.999979615,0.396182567,0.290016264,0.014944905,0.998551309
1,TRAIN/Natarajasana/Images/download.jpeg,182.1565627,183.5561811,81.05766343,154.4765755,109.5385839,183.9173646,190.9581387,175.3474234,220.1551741,93.54572947,239.9676154,315,5.579442105,252.9091032,0.358108699,0.220167726,-0.263222218,0.999993324,0.367688715,0.204207212,-0.265453815,0.999968767,0.371420503,0.204816103,-0.265973866,0.999978662,0.375259399,0.205155343,-0.266058177,0.999971271,0.365429461,0.205286443,-0.230750248,0.99997437,0.36706084,0.206923276,-0.231135517,0.999987483,0.368181765,0.208550751,-0.231173337,0.999981642,0.402586758,0.213092536,-0.255692661,0.99998951,0.387588263,0.217647254,-0.094043449,0.999973774,0.36980167,0.241299361,-0.258277744,0.99998343,0.366095662,0.244651243,-0.214351907,0.999982476,0.480294824,0.26018557,-0.304173976,0.999984741,0.3848719,0.337709576,0.035289541,0.99999249,0.566414058,0.170944631,-0.413997501,0.991858304,0.271412015,0.321484506,0.011568883,0.943469405,0.645791113,0.096358448,-0.568799734,0.987169862,0.177781522,0.30199033,-0.160391793,0.998476207,0.662061036,0.063310683,-0.613860369,0.986038268,0.150873512,0.301710486,-0.187505543,0.998608053,0.665936291,0.060960498,-0.640760601,0.986587822,0.148512661,0.294824958,-0.22384198,0.998642147,0.659592927,0.075383723,-0.584441006,0.984784722,0.158864707,0.293243229,-0.1876553,0.998856187,0.617845356,0.434492648,-0.105976969,0.99995029,0.591857612,0.509638309,0.105407558,0.999986768,0.740226805,0.287528872,-0.211890966,0.993953049,0.588983893,0.720842719,0.111706011,0.99524492,0.671869516,0.082863718,0.013940971,0.917357743,0.571722507,0.942302585,0.138554096,0.996186078,0.65600574,0.076237828,0.033355843,0.942795813,0.590722382,0.977121711,0.135990441,0.993650854,0.670138061,0.008734137,0.000900548,0.945355594,0.502824545,0.979484797,0.049994141,0.991731584
2,TRAIN/Natarajasana/Images/images (1).jpeg,182.4525102,217.1066557,67.48764924,155.2624058,88.99491399,185.0424511,190.0392548,178.4918296,214.842281,113.9326163,247.9887168,325.1050364,4.64492219,252.8774592,0.359163225,0.343592763,-0.246449143,0.999971628,0.362887919,0.325468957,-0.252297789,0.999907613,0.365154535,0.323945254,-0.252747387,0.999931693,0.367140234,0.32280004,-0.252812058,0.999927282,0.361961871,0.327590019,-0.227100581,0.999906063,0.363456309,0.327688992,-0.227453902,0.999947906,0.364687234,0.327795774,-0.227517307,0.999927282,0.388504565,0.320403218,-0.25304389,0.999968767,0.380559027,0.328509212,-0.135852009,0.99987781,0.370530844,0.355413556,-0.244095653,0.99990952,0.368950427,0.357451439,-0.212237656,0.999882698,0.463148534,0.334827393,-0.273486078,0.999974251,0.39216435,0.420712799,-0.055499855,0.999975681,0.53313911,0.254513264,-0.347083688,0.902454138,0.313343406,0.421294212,-0.110542059,0.710978031,0.599738955,0.184243977,-0.429397345,0.821368277,0.246647611,0.351367891,-0.233281553,0.972092152,0.611554086,0.160134017,-0.45843029,0.841988802,0.238379329,0.319102138,-0.256782413,0.977574646,0.615238428,0.158184111,-0.477667689,0.84106946,0.241076604,0.309572041,-0.267273366,0.977080822,0.611906409,0.172195256,-0.439571857,0.821802795,0.246359393,0.319784403,-0.246055052,0.977974296,0.586382627,0.441544741,-0.067197531,0.999923468,0.560551047,0.520285487,0.06671685,0.999970555,0.687565088,0.32335645,-0.167306826,0.951019347,0.563048482,0.714230537,0.105196677,0.933162451,0.61346209,0.175470814,-0.057529688,0.703574359,0.549820125,0.897526562,0.099523023,0.971332908,0.603751063,0.179375857,-0.047415581,0.886330247,0.560370743,0.933208704,0.096420266,0.967485368,0.58599633,0.09481743,-0.061605413,0.817819595,0.498807192,0.941976905,0.055713832,0.951781392
3,TRAIN/Natarajasana/Images/images (2).jpeg,173.5712523,180,178.7994441,78.11134196,163.8189695,267.5005804,183.8924762,173.4172612,210.2032378,114.9890821,252.4806592,272.385944,107.9345097,348.4438625,0.645650148,0.303730845,-0.31098628,0.999922633,0.644117415,0.286498219,-0.284832895,0.999796331,0.64254415,0.286218107,-0.285366416,0.999744833,0.640929401,0.286046594,-0.285327703,0.999789536,0.641400814,0.283159673,-0.333396167,0.999924183,0.637529254,0.280403793,-0.334050685,0.999925971,0.632650137,0.277730882,-0.334396511,0.999949098,0.610438228,0.278982162,-0.152051046,0.999870539,0.60063684,0.269089699,-0.372815847,0.999926925,0.625771403,0.318968832,-0.255591333,0.999859571,0.622517228,0.314073205,-0.3234815,0.999924302,0.567976236,0.382355124,-0.075129785,0.999980092,0.462267935,0.273769319,-0.378526479,0.999982476,0.70194304,0.337668002,-0.077501372,0.844599664,0.363386631,0.169751704,-0.438632011,0.976574838,0.82473588,0.273148775,-0.245980188,0.845123649,0.271045476,0.077362061,-0.54702431,0.942066133,0.863391578,0.266790777,-0.280901104,0.835947514,0.248630062,0.059381485,-0.599532306,0.900384426,0.868374228,0.268043786,-0.322565287,0.833977103,0.246885478,0.057217598,-0.644768834,0.897233069,0.851617277,0.268933654,-0.271604717,0.816553295,0.253812134,0.065274149,-0.572192132,0.886773407,0.283790469,0.495379388,0.097715832,0.99999845,0.261298299,0.407887429,-0.098094091,0.999995828,0.269306481,0.705843568,0.298747301,0.999491453,0.087963313,0.265952587,-0.204496101,0.998538256,0.312103659,0.903680325,0.498063773,0.999678731,0.208168328,0.103382617,0.237923607,0.974218547,0.289579302,0.935068607,0.505850971,0.99834466,0.238410875,0.113142163,0.285588026,0.943022311,0.402998984,0.95061326,0.38999781,0.998628139,0.256417572,0.030619919,0.261660486,0.94258821
4,TRAIN/Natarajasana/Images/images (4).jpeg,170.4609081,175.2681834,155.9107355,80.99149626,166.8121901,265.4493168,211.0740113,145.2653684,214.0664726,147.0293447,248.6146664,255.1037228,131.0562259,354.0938589,0.62599653,0.243621439,-0.364378572,0.999975204,0.610836267,0.23196736,-0.336251318,0.999937296,0.608088553,0.233023539,-0.336794794,0.999940634,0.605491698,0.2341602,-0.33675763,0.99994266,0.609093487,0.231139451,-0.393069834,0.999970794,0.605334759,0.231694549,-0.393666506,0.999977708,0.601750612,0.232345909,-0.394038975,0.999975562,0.584291101,0.243889481,-0.195711374,0.999978304,0.578561425,0.242025018,-0.453857988,0.99997282,0.619608283,0.263013214,-0.306525856,0.999959111,0.617665648,0.260996103,-0.385136962,0.999968171,0.590016305,0.319265008,-0.063137338,0.999994874,0.489523023,0.30121547,-0.490512013,0.999986291,0.703277946,0.26965642,0.012849119,0.92307651,0.363026142,0.239037156,-0.599339247,0.997726738,0.802236199,0.20756653,-0.088752426,0.983687222,0.245886207,0.194429338,-0.720285058,0.994889498,0.830423951,0.192374736,-0.098764628,0.976158679,0.217831865,0.172218412,-0.772119343,0.988025725,0.831097603,0.186198324,-0.150886118,0.97834146,0.211085409,0.173192084,-0.805446327,0.987952411,0.821304619,0.189816803,-0.116319112,0.979278564,0.221771479,0.182792395,-0.740220547,0.984843671,0.406572253,0.513316512,0.144138575,0.999997258,0.378488302,0.459415346,-0.144599661,0.99999094,0.380725682,0.666285992,0.419107348,0.999722302,0.191365883,0.417006314,-0.145785719,0.999828219,0.388846397,0.825302243,0.52624166,0.999948025,0.226206601,0.216039747,0.054755032,0.998417497,0.365030617,0.856631756,0.524100721,0.999834895,0.243836924,0.204790846,0.076464936,0.994760692,0.462990373,0.861307263,0.426868498,0.999811709,0.190790281,0.134883672,0.045957912,0.996829212
5,TRAIN/Natarajasana/Images/images (5).jpeg,168.5535409,183.4868298,160.3389316,63.61106234,169.9494296,274.8284861,216.614828,141.3223259,190.3361927,138.0100611,236.7418659,276.009006,125.9857037,354.2581532,0.502688885,0.292795211,-0.258508533,0.999996305,0.497653365,0.279863536,-0.239012733,0.99998951,0.497123688,0.280864656,-0.239335939,0.999990225,0.496634066,0.282170922,-0.239280984,0.999989033,0.494815797,0.278185904,-0.27370277,0.99999547,0.492150098,0.277897418,-0.274102926,0.999996901,0.489469171,0.277926862,-0.274321198,0.999996305,0.482430965,0.289266467,-0.140895784,0.999994993,0.47280556,0.284009218,-0.297871143,0.999996543,0.497825861,0.309349626,-0.218428671,0.999988198,0.494609386,0.307327449,-0.266483128,0.99999249,0.48285374,0.380452633,-0.046187337,0.999996305,0.417517215,0.329855412,-0.315734595,0.999996305,0.561394215,0.336763084,-0.006985859,0.94225651,0.328203022,0.301877469,-0.369634986,0.999005616,0.626395941,0.274138749,-0.099557675,0.985060871,0.248952836,0.272725821,-0.438649684,0.998537064,0.642925978,0.26138556,-0.111250564,0.978479087,0.233980209,0.254682332,-0.471568882,0.996262133,0.645968378,0.258538842,-0.145428836,0.979526579,0.229946822,0.250400811,-0.495918304,0.996342123,0.640152991,0.261994362,-0.118528597,0.981081545,0.237141505,0.260337532,-0.45178476,0.995780587,0.355603874,0.535976768,0.085192434,0.999999404,0.335688144,0.484347612,-0.085571729,0.999997735,0.336010277,0.72656852,0.201464087,0.999989271,0.209107459,0.464962661,-0.164493054,0.999948025,0.341257155,0.90858078,0.261915535,0.999998331,0.231721848,0.275978327,0.022028098,0.999417782,0.330236316,0.932129741,0.258882284,0.999989867,0.24444513,0.269224942,0.042627636,0.998234987,0.388933152,0.941794157,0.188985392,0.999988198,0.221083909,0.207846016,0.030189289,0.998946846
6,TRAIN/Natarajasana/Images/images (6).jpeg,167.7074622,177.7852449,138.0355691,84.72480244,162.4375083,245.9778072,206.4712117,151.9661481,197.0876953,136.6913131,263.6985859,280.9603354,109.5627073,352.2245659,0.60591203,0.202710643,-0.411337525,1,0.598339379,0.183999345,-0.389311612,0.999999881,0.596611321,0.18414557,-0.38964203,0.999999881,0.594816983,0.184430987,-0.389550805,0.999999881,0.596764803,0.183992684,-0.429411978,1,0.59345752,0.184788495,-0.429893434,1,0.590063632,0.18583715,-0.430061966,1,0.574216485,0.190214306,-0.262174934,1,0.567035377,0.193071246,-0.44382444,1,0.599346161,0.228076667,-0.359768093,0.999999881,0.596057892,0.228018343,-0.414643019,0.999999881,0.581595778,0.326435536,-0.128639624,0.999999523,0.49820289,0.261888087,-0.442255974,0.999998927,0.688901663,0.341847777,-0.081852809,0.994945943,0.406824321,0.165358812,-0.552312136,0.999868274,0.782643855,0.32279247,-0.178952232,0.99823451,0.316303045,0.085069418,-0.690643787,0.999588192,0.810595393,0.319672018,-0.187803626,0.996605396,0.296646655,0.075522393,-0.738674283,0.998792529,0.812383652,0.306282133,-0.239341378,0.996989846,0.293172568,0.076011896,-0.766973019,0.998892248,0.802470326,0.305177778,-0.205900222,0.997054219,0.300511867,0.079257846,-0.708963633,0.998831451,0.416664273,0.505379021,0.094271012,0.999999881,0.402132064,0.444797605,-0.094530828,0.999999285,0.39015007,0.712853789,0.139886245,0.999997616,0.27282697,0.323584735,-0.191715404,0.999988794,0.408126593,0.932980239,0.198964387,0.999999523,0.293351829,0.132300138,0.010024327,0.999862194,0.397915423,0.964580178,0.196053818,0.999996781,0.306309223,0.114042379,0.032375149,0.999570549,0.472593665,0.970199823,0.095427178,0.99999845,0.288335979,0.052463051,0.013304841,0.999820173
7,TRAIN/Natarajasana/Images/images (7).jpeg,159.7751406,219.9924357,75.5297059,181.1934894,98.77384807,196.6450382,189.1240155,172.2136644,242.1388853,100.7388971,237.0947571,326.2798243,9.661882211,235.0389549,0.24267979,0.401989996,-0.239675403,0.99998641,0.245930731,0.385065943,-0.245090395,0.999971628,0.248345688,0.383171469,-0.245571971,0.999974251,0.250855058,0.381514072,-0.245653823,0.999979854,0.243452355,0.387436152,-0.215729803,0.999968529,0.243776262,0.387408078,-0.21612905,0.999975681,0.24393256,0.387508839,-0.216164216,0.999973297,0.271483719,0.377173692,-0.234631002,0.999984026,0.259771109,0.386023641,-0.099031731,0.999897838,0.254614234,0.411513239,-0.231685042,0.999955773,0.250458807,0.413779795,-0.194997698,0.999937534,0.343067914,0.407418102,-0.259594142,0.999983788,0.271201313,0.462463707,0.01715241,0.999980807,0.420272738,0.335151196,-0.299334198,0.888409257,0.193462342,0.413715065,-0.015767438,0.568015337,0.467063129,0.251024872,-0.3470954,0.872235239,0.1573897,0.303526014,-0.166565135,0.935484231,0.478984118,0.232597709,-0.377636164,0.864858449,0.149116933,0.271701783,-0.197635189,0.947847962,0.477868497,0.223931283,-0.399941444,0.865977526,0.153437287,0.267473102,-0.212221995,0.946351707,0.473098278,0.23286052,-0.357078969,0.833041072,0.160440058,0.276541382,-0.18254976,0.940095663,0.463798612,0.528916359,-0.096739031,0.999946594,0.454534948,0.576953769,0.096227139,0.99997735,0.573203146,0.407741219,-0.211806521,0.960913956,0.470860362,0.755458713,0.168081835,0.925410986,0.502536952,0.265720427,-0.101870239,0.710713267,0.447267115,0.920762181,0.226272553,0.962807655,0.484774113,0.265862554,-0.093928546,0.867488861,0.460257888,0.94854033,0.227661967,0.958629131,0.476726174,0.201767117,-0.140383065,0.863255382,0.387145758,0.956267834,0.163487956,0.949415684
8,TRAIN/Natarajasana/Images/images (8).jpeg,168.6900675,175.2363583,142.5946434,78.69006753,167.8080174,273.9833972,210.5881805,146.7388493,194.1842942,136.0210048,245.0000179,279.4623222,113.6800563,351.5175465,0.683587074,0.288761139,-0.333659202,1,0.677042365,0.272034585,-0.317655265,1,0.675698161,0.271427661,-0.317916572,1,0.674336493,0.270932317,-0.317827702,0.999999881,0.675582886,0.271845847,-0.354865551,1,0.67335403,0.271156192,-0.355220139,1,0.671027303,0.270704448,-0.355328649,1,0.659044683,0.277105749,-0.219650775,1,0.653935373,0.276590586,-0.389207721,1,0.678573728,0.305877447,-0.292294621,0.999999881,0.677028894,0.304137468,-0.343311638,0.999999881,0.661925793,0.368551522,-0.107827559,0.999999642,0.601661026,0.318794549,-0.383939505,0.999999285,0.749651074,0.36956349,-0.049437653,0.976293206,0.528048217,0.262851954,-0.437933475,0.999594867,0.822103441,0.347508192,-0.124581337,0.990089178,0.45754087,0.222650275,-0.505576611,0.998891652,0.840823174,0.345012069,-0.129862621,0.983783066,0.440583467,0.211874306,-0.538158953,0.9970963,0.845705569,0.33942014,-0.173430443,0.985642493,0.437252581,0.210888937,-0.563282907,0.997198343,0.838829041,0.339129329,-0.14691332,0.987706006,0.4441998,0.215319321,-0.519489586,0.996355534,0.540867865,0.509747565,0.076631218,0.999999881,0.526378453,0.468783468,-0.076842368,0.999999523,0.522931278,0.689557672,0.111030914,0.99999392,0.399782598,0.422173262,-0.131114274,0.999940872,0.530478358,0.868117094,0.130046815,0.99999845,0.435800314,0.245591372,0.0586132,0.998637855,0.519827545,0.897913337,0.124308988,0.99999249,0.447710454,0.243864715,0.079560712,0.997231066,0.5812397,0.911357999,0.044280954,0.999995351,0.434536576,0.183547974,0.076329254,0.998761773
9,TRAIN/Natarajasana/Images/images.jpeg,140.5921948,196.3302484,161.8771366,74.11794932,185.0424511,240.6454207,203.294048,153.3833155,198.8810693,130.8389529,269.4362851,275.4118692,133.8177033,355.2076013,0.628153563,0.238599569,-0.243536398,0.999966979,0.624445558,0.220229104,-0.227855861,0.999910831,0.62362957,0.219764858,-0.228164539,0.999873638,0.622812748,0.219404072,-0.228090778,0.99991262,0.622374773,0.219366297,-0.249363333,0.999958873,0.619964123,0.219290167,-0.249696404,0.999957919,0.616572618,0.219882086,-0.249854177,0.999971628,0.608019948,0.225221992,-0.147856429,0.99990201,0.597030044,0.2251883,-0.243644401,0.999906301,0.622830987,0.256580144,-0.210475534,0.999902368,0.619235277,0.255745202,-0.2404899,0.999929667,0.611541271,0.333779514,-0.091517411,0.999989033,0.54072237,0.289126158,-0.222544998,0.999950528,0.678050399,0.27570951,-0.092276096,0.824466586,0.467531562,0.256424278,-0.253110051,0.821522415,0.705720961,0.171072572,-0.21076104,0.820643365,0.401627421,0.185015395,-0.334744483,0.739586294,0.705601871,0.1367217,-0.237869844,0.78291738,0.389772594,0.167680502,-0.366495371,0.638493717,0.70080173,0.130367875,-0.257567436,0.789653778,0.389337182,0.160803646,-0.39267236,0.636620462,0.697811842,0.14342773,-0.223135576,0.771819413,0.394120008,0.168801516,-0.349308193,0.58278811,0.498717695,0.521940112,0.043970451,0.999997616,0.478471369,0.454065382,-0.044260185,0.999989271,0.509340167,0.719104767,0.091032922,0.997766852,0.381194293,0.358210981,-0.072036825,0.959160089,0.508742392,0.899332643,0.16292727,0.998695076,0.385512143,0.184843972,0.130985782,0.838305652,0.496895492,0.929910779,0.162787423,0.994752407,0.39086929,0.175100118,0.150635168,0.74823916,0.552441955,0.945222497,0.054451656,0.996125281,0.388388127,0.114281744,0.106299147,0.8127051
