,Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis
0,TRAIN/Vrukshasana/Images/1.png,130.4260787,219.8602426,171.3195816,178.4025238,182.726311,69.14554196,355.3567274,17.96013279,300.1789319,174.644175,238.6576425,299.7448813,183.989091,169.1232546,0.467397124,0.211412638,-0.494586259,0.997443557,0.481513053,0.204128951,-0.455754489,0.997872114,0.488867551,0.205268949,-0.456211656,0.996705234,0.495207727,0.206733793,-0.456059396,0.99820292,0.460025609,0.203439087,-0.451914012,0.998258293,0.452915311,0.203938246,-0.452561438,0.997628629,0.445741951,0.204208881,-0.452871501,0.998623013,0.495626807,0.219718844,-0.258729607,0.996582448,0.433952659,0.215476632,-0.247144297,0.995307624,0.478958219,0.230549186,-0.418406457,0.986105502,0.455080301,0.227819249,-0.418942809,0.985328496,0.5249663,0.298704386,-0.235497102,0.98769486,0.395324707,0.294169903,-0.161185756,0.955765009,0.558243513,0.198896348,-0.404356301,0.917952895,0.373164475,0.195705831,-0.314888656,0.780540168,0.476309448,0.108341277,-0.49161765,0.844497144,0.448277175,0.108519316,-0.477786243,0.714641511,0.46455428,0.082939863,-0.542667389,0.744118989,0.458270311,0.080994755,-0.547870219,0.564925671,0.465664178,0.083025932,-0.524801075,0.722782493,0.461922735,0.08180663,-0.53315115,0.535714924,0.46919167,0.092800558,-0.488468677,0.684352696,0.460289568,0.09241873,-0.484239191,0.5426808,0.501092553,0.49395901,-0.014599263,0.999836326,0.418692142,0.488144338,0.01443018,0.999782264,0.50030148,0.659896731,0.018682593,0.916759789,0.287661314,0.56633544,-0.462764055,0.973773956,0.497250497,0.789520383,0.376358867,0.969735205,0.437549919,0.638483226,0.049113031,0.748975694,0.493194193,0.802327812,0.402544588,0.722176611,0.463188469,0.623579979,0.102241628,0.509339929,0.4885827,0.842764258,0.174152061,0.935521066,0.478327036,0.694143891,-0.053524204,0.688966811
1,TRAIN/Vrukshasana/Images/download.jpeg,174.4006607,204.814197,193.8406955,175.5900315,188.5184227,28.17859011,2.908743529,30.56258322,318.3274042,175.446232,240.4242289,311.9872125,187.5946434,166.6947635,0.506879449,0.281555146,-0.24363476,0.998653531,0.511866212,0.263163626,-0.221555591,0.999049246,0.515919626,0.262711883,-0.221814364,0.998494983,0.518425047,0.262239397,-0.221707866,0.999061167,0.50173384,0.265995502,-0.22292392,0.999266326,0.498326272,0.266931295,-0.22332333,0.999049246,0.49492228,0.267824531,-0.223511383,0.999434292,0.521334767,0.267100692,-0.108892277,0.997819543,0.48803252,0.275095165,-0.117798321,0.997872829,0.514718592,0.297145277,-0.199433759,0.989791393,0.501951694,0.297493696,-0.204235569,0.989043117,0.537862122,0.337150306,-0.095177792,0.990235984,0.473654598,0.341241002,-0.089528248,0.964930832,0.532631397,0.226366028,-0.202177137,0.843931079,0.473103702,0.232095182,-0.182887629,0.624819279,0.518652558,0.113595895,-0.281512529,0.739567935,0.498819292,0.119775683,-0.287017941,0.627785921,0.51534307,0.083307505,-0.312152594,0.655960023,0.504520357,0.089239597,-0.329388052,0.546205461,0.514764607,0.080849111,-0.309478998,0.646591246,0.50516367,0.08705622,-0.32426998,0.521188557,0.51472497,0.090934783,-0.284101844,0.637904763,0.504743099,0.096210092,-0.292263091,0.526916623,0.518459439,0.573111176,-0.000115796,0.999860168,0.471550971,0.56757772,3.73E-05,0.999802172,0.511084855,0.755187452,0.025042092,0.936228454,0.374175131,0.656524718,-0.245659932,0.968337476,0.491070002,0.915684581,0.163287416,0.960222006,0.480540097,0.65635258,-0.017094361,0.530015528,0.484511137,0.936271131,0.172681317,0.734345257,0.493575722,0.63722384,0.007616548,0.33029139,0.491528094,0.971130133,0.050369222,0.912469327,0.497442603,0.731078267,-0.071664244,0.460329473
2,TRAIN/Vrukshasana/Images/images (1).jpeg,158.2618076,196.687484,186.2209499,186.0361926,324.9977812,177.4295248,326.6802601,357.7745998,318.9347821,113.6761784,176.9138286,312.4081333,193.9594738,169.294516,0.493890017,0.256970912,-0.223605469,0.996929348,0.497982323,0.238987565,-0.197774947,0.996861577,0.501876235,0.238751382,-0.198054463,0.996264517,0.505718648,0.238884568,-0.19804129,0.997675836,0.489101917,0.240031496,-0.202587664,0.997714877,0.485894829,0.240132943,-0.202964097,0.997447491,0.482707113,0.24020651,-0.203149825,0.998440206,0.508795083,0.246617496,-0.075392641,0.997397304,0.475869477,0.246378899,-0.095041677,0.995179534,0.500661194,0.274772286,-0.174881577,0.990515471,0.488876164,0.273886085,-0.183238938,0.99230957,0.52919662,0.32186991,-0.044260051,0.99502939,0.450990587,0.31730032,-0.089095071,0.994428277,0.525369287,0.198484942,-0.085570931,0.799699485,0.454204947,0.193620205,-0.165591061,0.790186048,0.494257927,0.088231921,-0.154704005,0.625150204,0.480517924,0.08309862,-0.199743927,0.721703291,0.49109748,0.058313906,-0.182874382,0.59737134,0.486265779,0.055336829,-0.234989434,0.650164604,0.490831554,0.055846695,-0.187688962,0.588926077,0.486565083,0.052673813,-0.229199231,0.626612008,0.491621375,0.065241992,-0.159569889,0.589030623,0.486024499,0.062171221,-0.202919841,0.630751789,0.519480109,0.580091238,0.02361439,0.999889612,0.464020044,0.593501687,-0.023951998,0.999921441,0.617452919,0.652404726,-0.170888886,0.995299697,0.475209624,0.788117409,-0.022189081,0.986822367,0.508027852,0.677142918,0.110255219,0.890881121,0.492442995,0.92282474,0.19115822,0.971461833,0.491265386,0.665560603,0.139195949,0.7311517,0.502029598,0.940401554,0.213652626,0.842811286,0.488039851,0.759488761,0.080261119,0.832470119,0.484238535,0.973132133,0.131731629,0.909282446
3,TRAIN/Vrukshasana/Images/images (2).jpeg,304.7362847,56.30993247,39.94397656,36.74614885,326.6924761,173.1067276,333.2623717,358.5243227,91.89730304,111.4694109,182.3344092,312.5572446,192.0507849,161.0884121,0.451571137,0.126943707,-0.348212361,0.999973774,0.463876992,0.111208826,-0.310239285,0.999958992,0.472840756,0.111041427,-0.310630202,0.999961615,0.478507578,0.111256957,-0.310553193,0.999967694,0.444219053,0.111679912,-0.311813444,0.999974489,0.439179838,0.112276912,-0.312227011,0.999981999,0.433042079,0.112737328,-0.312428802,0.999982953,0.486425132,0.117443502,-0.099140465,0.999981761,0.427245945,0.115895003,-0.104326077,0.999956489,0.464009881,0.14339897,-0.265745074,0.99998486,0.444417447,0.1412175,-0.270648092,0.999987364,0.540900111,0.230162188,0.033891108,0.999988914,0.376075476,0.226026714,-0.016409829,0.999985576,0.612385988,0.349634558,-0.07902927,0.955333948,0.305351734,0.348162264,-0.191882521,0.881197691,0.486413866,0.339214593,-0.45165202,0.986550212,0.434677154,0.340445995,-0.536489427,0.979219615,0.472804725,0.310758919,-0.527270555,0.991581857,0.451856613,0.313079685,-0.622973323,0.985026956,0.471993327,0.304178059,-0.527763069,0.99136132,0.451818347,0.307153285,-0.605086982,0.983193398,0.473721713,0.31566,-0.455668598,0.984129548,0.448821306,0.318092823,-0.537051439,0.97529912,0.501960993,0.475444674,0.039386678,0.999990106,0.408195019,0.478453636,-0.039929379,0.999995112,0.688091457,0.58310461,-0.197109357,0.991477787,0.424928963,0.695325017,-0.103702828,0.99642086,0.485653251,0.594804525,0.271519631,0.916823149,0.464861035,0.891149879,0.058589168,0.998820007,0.454980105,0.574488938,0.318565041,0.840672612,0.476237774,0.911796868,0.072870106,0.981776297,0.446936756,0.680932999,0.18982473,0.93915832,0.46482721,0.949526906,-0.152414292,0.996370316
4,TRAIN/Vrukshasana/Images/images.jpeg,322.9403819,32.08973468,9.543661988,14.55538377,329.620874,174.1940427,327.7446649,354.8224402,56.26323666,115.4093853,186.0945986,316.5188504,204.3893744,168.2070047,0.473414421,0.17344749,-0.365918547,0.999889731,0.481228918,0.155321062,-0.339660972,0.999885678,0.486205786,0.155795127,-0.340001613,0.999885678,0.491916925,0.156148255,-0.339953095,0.999895215,0.466577649,0.155775249,-0.341340989,0.999936461,0.462054223,0.156274825,-0.341662318,0.999953866,0.458430767,0.156409562,-0.341831505,0.999956012,0.49743697,0.161567748,-0.179024085,0.99993825,0.452625662,0.163038105,-0.186142087,0.999903917,0.483729541,0.190382481,-0.302839875,0.999925494,0.466940492,0.188242495,-0.306921095,0.999949098,0.538226724,0.259556592,-0.089169614,0.999967813,0.423871577,0.266230911,-0.121505342,0.999970913,0.544840276,0.391032219,-0.259194791,0.840476811,0.420766681,0.395771056,-0.35342139,0.713506818,0.487211615,0.297337651,-0.556630433,0.973552942,0.468314528,0.297374249,-0.659774661,0.973932147,0.479698628,0.261855066,-0.61682415,0.979906797,0.473210126,0.262101591,-0.731695831,0.976870775,0.482727438,0.253759205,-0.611817718,0.976899624,0.469658017,0.254157811,-0.710160434,0.970190406,0.483351588,0.264523387,-0.560003459,0.94580698,0.469580591,0.265125811,-0.659761786,0.942154169,0.52510941,0.50443089,0.023841849,0.999983072,0.460195601,0.510100901,-0.024168238,0.999992847,0.630575538,0.597428143,-0.120896541,0.925144374,0.47739315,0.708640218,-0.063787773,0.968817711,0.513703167,0.595960617,0.308376908,0.556385875,0.500854671,0.884299636,0.143802896,0.993324101,0.497470886,0.580133498,0.349043965,0.48631078,0.507949352,0.903871834,0.161010429,0.929240584,0.488418758,0.674361825,0.260614276,0.688118517,0.493798554,0.939530492,0.003806492,0.982804418
5,TRAIN/Vrukshasana/Images/istockphoto-1023563042-612x612.jpg,307.6332307,61.36107746,22.63379621,28.69632354,305.5289333,173.5620127,334.1101204,3.298830803,77.6508023,120.8354791,187.1164173,304.2275296,202.2611344,164.6734699,0.345415503,0.096747935,-0.216085896,0.997824192,0.353190333,0.083149612,-0.185864106,0.996329725,0.357271999,0.084388882,-0.186122373,0.996141136,0.362163931,0.085327536,-0.186138973,0.997137427,0.337745309,0.083214842,-0.191543236,0.997989058,0.333165944,0.084343195,-0.191869453,0.99849093,0.328321159,0.086705089,-0.192083582,0.998854756,0.368595988,0.098693728,-0.034093793,0.998764753,0.320726216,0.100740701,-0.057888024,0.997837842,0.355932742,0.116289884,-0.1576287,0.999156952,0.336615562,0.11655724,-0.16690442,0.999380708,0.406858385,0.229343668,0.038868066,0.999763668,0.284956634,0.226870656,-0.018180041,0.999851584,0.438126296,0.357551724,-0.045833692,0.783836126,0.256834626,0.345858574,-0.169130653,0.845750272,0.366166532,0.325111032,-0.277510494,0.718416452,0.339036167,0.324196339,-0.373826385,0.831080556,0.361028492,0.307038844,-0.327031702,0.765895188,0.360902011,0.312997282,-0.427871555,0.825722873,0.360740006,0.288928092,-0.325683475,0.74877578,0.367377371,0.30815047,-0.408500671,0.793898225,0.362205058,0.302738786,-0.280407965,0.658939838,0.362660646,0.315656781,-0.369885653,0.70386225,0.397371918,0.481696129,0.022145187,0.999980807,0.319833219,0.49927184,-0.022495167,0.999989033,0.503853559,0.582892239,-0.282842368,0.99555248,0.327250063,0.712168396,-0.065175347,0.988810539,0.384103894,0.649929166,0.053148411,0.858220875,0.349053532,0.893933237,0.080242082,0.994869828,0.362429529,0.638693094,0.086987339,0.779882431,0.358716697,0.909047008,0.093109205,0.952320635,0.353136331,0.7280761,0.002438628,0.812135994,0.33225885,0.963679194,-0.045892842,0.978328109
6,TRAIN/Vrukshasana/Images/istockphoto-1094418370-612x612.jpg,297.6949733,45.15900731,20.26891615,26.07215616,186.0350103,47.76430349,1.782195712,22.92152367,77.61059781,170.3912014,246.6090561,317.9576061,198.1169495,164.1493518,0.577535748,0.227876604,-0.17156902,0.999898076,0.585712135,0.213226676,-0.156639025,0.999919891,0.589228213,0.213122025,-0.156827077,0.999879479,0.594066441,0.213723421,-0.156668216,0.999914408,0.575094402,0.215523332,-0.140950933,0.999944925,0.571994662,0.216637671,-0.141238123,0.999940872,0.568391263,0.217431337,-0.141413912,0.999961019,0.602787435,0.222259372,-0.062318396,0.999852538,0.569945812,0.223939091,0.005092879,0.999834299,0.586874664,0.241389617,-0.134879977,0.99983418,0.573749661,0.242068946,-0.117356122,0.999805987,0.639236689,0.305431932,-0.060478449,0.999884605,0.544007421,0.309221566,0.101647414,0.999683142,0.651268125,0.416450113,-0.173834875,0.934284389,0.515292585,0.419463962,-0.019801399,0.587360561,0.583362222,0.380615532,-0.314153522,0.882407784,0.562968969,0.387649536,-0.304117471,0.769904196,0.571680188,0.35964486,-0.351813406,0.840874553,0.569025457,0.364694417,-0.360918075,0.723900318,0.576239407,0.346258074,-0.343254089,0.825149059,0.573343277,0.353633404,-0.352746487,0.705802619,0.578981578,0.355550945,-0.30999732,0.683329642,0.571895421,0.362149626,-0.309512615,0.605361342,0.609421372,0.536351919,-0.05093288,0.999962807,0.556137085,0.518859863,0.050933436,0.999958992,0.605000973,0.690095425,-0.034618467,0.92645824,0.473439842,0.587357104,-0.233487144,0.964429498,0.592133284,0.832793534,0.14039351,0.970150471,0.572281957,0.637315392,0.008813456,0.658495128,0.597909272,0.855386555,0.153301597,0.750164807,0.589678764,0.628506362,0.034666214,0.640322626,0.558077931,0.878488898,0.013147091,0.952823997,0.595953405,0.707197726,-0.053955715,0.754146039
7,TRAIN/Vrukshasana/Images/istockphoto-1094418632-612x612.jpg,225,137.1790498,172.9106375,184.6507252,178.180888,298.4062036,7.05377513,338.5629864,59.46064889,184.8517366,116.2626167,42.51044708,171.2779728,182.5530962,0.506451726,0.284030795,0.069956206,0.999990106,0.503827333,0.275209188,0.060206193,0.999985099,0.500793755,0.275651336,0.06001582,0.999981761,0.497768521,0.276210427,0.060015991,0.99998796,0.511074603,0.275098503,0.047699973,0.999991417,0.513545573,0.275579691,0.047500275,0.999991298,0.516123831,0.27590242,0.047501218,0.999991059,0.494314551,0.284498632,0.026811182,0.999993324,0.5213148,0.284599781,-0.030769875,0.999974728,0.501556396,0.296114981,0.063986517,0.999969721,0.509637475,0.29679805,0.045992158,0.99996531,0.466366678,0.336353421,0.047087442,0.999977589,0.539057732,0.337008208,-0.098494962,0.999868512,0.461945236,0.249079511,0.061650537,0.965827942,0.545097411,0.255114555,-0.206876308,0.984302163,0.498025626,0.185203046,0.040629763,0.990491211,0.510644257,0.184962541,-0.277867109,0.97092247,0.501915395,0.160048142,0.03410672,0.987340868,0.5066517,0.157357305,-0.30830279,0.958165884,0.503022671,0.165814206,0.017722154,0.987083972,0.505165458,0.1654879,-0.306922942,0.953978121,0.502716303,0.177011684,0.032780096,0.981144071,0.506074786,0.17717877,-0.281474739,0.932244778,0.494260311,0.53442812,0.060368527,0.999977827,0.534006894,0.524310589,-0.06063715,0.999944448,0.505884349,0.676095009,0.066606276,0.973385274,0.608398676,0.584216774,-0.12682052,0.99151051,0.519899309,0.817195058,0.034114081,0.985139906,0.538164675,0.65306747,-0.080177709,0.957605422,0.520282209,0.838291407,0.025013458,0.987028956,0.522148132,0.63801074,-0.075172149,0.944176078,0.525822759,0.81796664,-0.015384316,0.965457499,0.521102667,0.712458968,-0.071066611,0.915138125
8,TRAIN/Vrukshasana/Images/istockphoto-1177568976-612x612.jpg,187.4958576,175.0540335,170.9334973,165.1991299,103.4273846,184.6625242,17.26680254,1.901475378,34.69084784,209.700027,175.4828963,45,165.9169558,185.390897,0.534164131,0.495553344,0.016402053,0.999943495,0.53156054,0.486824304,0.0027035,0.999874353,0.529952884,0.486711055,0.002581406,0.999874353,0.528294742,0.486854106,0.002571585,0.99987483,0.536651611,0.486323208,0.001611088,0.999931574,0.538659155,0.485776484,0.00146304,0.999949813,0.540587068,0.484995484,0.001432797,0.999950528,0.52513057,0.491507381,-0.037899926,0.999932408,0.543594658,0.487717718,-0.043140326,0.999937296,0.532532752,0.502858043,0.007252823,0.999867201,0.537457168,0.504410863,0.004755822,0.999877572,0.512432039,0.528622746,-0.05025354,0.999950051,0.554609239,0.529898524,-0.052398693,0.999953747,0.517588258,0.464227915,-0.094901629,0.805827379,0.548692882,0.461247593,-0.10640642,0.661295354,0.526419282,0.400926173,-0.136599705,0.931919575,0.538527727,0.397153884,-0.144763857,0.96001178,0.528397024,0.384118885,-0.149836227,0.964496255,0.535938561,0.380170852,-0.159963518,0.97582078,0.530045271,0.383771241,-0.152050644,0.967346787,0.534423232,0.383461237,-0.159910768,0.971410215,0.530202508,0.38793543,-0.13909626,0.95256561,0.534870684,0.388113111,-0.147647232,0.964322746,0.515126228,0.69173038,-0.001292632,0.999976516,0.545695066,0.692139924,0.001053208,0.999987006,0.498870909,0.741883993,0.007275905,0.860485673,0.542562485,0.823081672,0.020355202,0.942413568,0.525111914,0.781862736,0.023052301,0.881394863,0.537300527,0.931647718,-0.03293043,0.984241307,0.531992793,0.777809083,0.023262395,0.951649547,0.536031723,0.949530005,-0.040237855,0.97062844,0.534452736,0.810962081,0.021385277,0.830605567,0.541933775,0.941565514,-0.071154967,0.921812892
9,TRAIN/Vrukshasana/Images/istockphoto-1215515999-612x612.jpg,123.4951847,234.6254682,171.9022446,171.3277846,188.5850854,30.77267613,4.550851347,34.41042914,295.6298542,179.6208771,240.3273381,316.5611338,192.0831882,164.2426827,0.50763911,0.274321586,-0.179847047,0.999664187,0.514306366,0.259652466,-0.158186302,0.999730408,0.518811822,0.260400832,-0.158436045,0.999601543,0.523080826,0.261701524,-0.158322543,0.999801934,0.503016114,0.259978145,-0.157269865,0.99974817,0.499020189,0.260816008,-0.15766117,0.999640822,0.49534297,0.261603385,-0.157823056,0.999787152,0.527084589,0.268107593,-0.046806041,0.999676347,0.491773427,0.267729491,-0.04472008,0.999226332,0.516659617,0.293024182,-0.135588229,0.998469889,0.504116178,0.291407466,-0.137401894,0.997538567,0.551264584,0.346329033,-0.033224527,0.998472393,0.469681472,0.335920632,0.003574334,0.983003318,0.570874572,0.222597033,-0.071274593,0.985923767,0.454006374,0.215957254,-0.017063335,0.696145654,0.518286347,0.139597028,-0.049804531,0.888155401,0.50044924,0.140910387,-0.034225665,0.296088338,0.512202799,0.119797081,-0.064169742,0.765078068,0.506346762,0.119081795,-0.058293104,0.199828014,0.511085093,0.120458156,-0.054773532,0.751655221,0.507325649,0.120723516,-0.051237948,0.179198772,0.512930512,0.129499465,-0.04624328,0.730901361,0.507015288,0.130018502,-0.035773281,0.214390591,0.537414849,0.591984212,-0.014694158,0.999953747,0.477239728,0.582384109,0.014611481,0.999910116,0.526638508,0.767480969,-0.012699601,0.973404109,0.383336604,0.673707187,-0.244661525,0.982842743,0.504519641,0.912273765,0.190802097,0.964953482,0.489766628,0.667157352,0.050059248,0.607308269,0.498891234,0.924484491,0.208920479,0.703108311,0.50377202,0.652273297,0.083326377,0.461887568,0.495541692,0.970049858,0.101153806,0.918568075,0.508274078,0.740371227,0.026100161,0.575257599
